Table,Condition,Frequency
an,an.name IS NOT NULL AND (an.name LIKE '%a%' OR an.name LIKE 'A%'),1
an,an.name LIKE '%a%',1
,,
cct,cct.kind != 'complete+verified',1
cct,cct.kind = 'cast',9
cct,cct.kind = 'complete',2
cct,cct.kind = 'complete+verified',6
cct,cct.kind = 'crew',1
cct,"cct.kind IN ('cast','crew')",2
cct,cct.kind LIKE '%complete%',4
cct,cct.kind LIKE 'complete%',1
,,
chn,chn.name = 'Queen',1
chn,chn.name IS NOT NULL AND (chn.name LIKE '%man%' OR chn.name LIKE '%Man%'),2
chn,chn.name IS NOT NULL AND (chn.name LIKE '%man%'OR chn.name LIKE '%Man%'),1
chn,chn.name NOT LIKE '%Sherlock%' AND (chn.name LIKE '%Tony%Stark%' OR chn.name LIKE '%Iron%Man%'),1
,,
ci,ci.note = '(voice: English version)',1
ci,ci.note = '(voice)',2
ci,"ci.note IN ('(voice)','(voice: Japanese version)','(voice) (uncredited)','(voice: English version)')",5
ci,"ci.note IN ('(voice)','(voice) (uncredited)','(voice: English version)')",1
ci,"ci.note IN ('(writer)','(head writer)','(written by)','(story)','(story editor)')",8
ci,ci.note LIKE '%(producer)%',2
,,
cn,cn.country_code != '[pl]',1
cn,cn.country_code != '[pl]' AND (cn.name LIKE '%Film%' OR cn.name LIKE '%Warner%'),5
cn,cn.country_code != '[pl]' AND (cn.name LIKE '20th Century Fox%' OR cn.name LIKE 'Twentieth Century Fox%'),1
cn,cn.country_code != '[us]',6
cn,cn.country_code = '[jp]',1
cn,cn.country_code = '[nl]',2
cn,cn.country_code = '[ru]',1
cn,cn.country_code = '[sm]',1
cn,cn.country_code = '[us]',25
cn,cn.country_code = '[us]' AND cn.name = 'YouTube',1
cn,cn.name LIKE 'Lionsgate%',2
,,
ct,ct.kind != 'production companies' AND ct.kind IS NOT NULL,2
ct,ct.kind = 'production companies',14
ct,ct.kind IS NOT NULL AND (ct.kind = 'production companies' OR ct.kind = 'distributors'),1
,,
it_mi,it.info = 'budget',1
it_mi,it.info = 'countries',7
it_mi,it.info = 'genres',9
it_mi,it.info = 'release dates',13
it_miidx,it.info = 'bottom 10 rank',3
it_miidx,it.info = 'rating',20
it_miidx,it.info = 'top 250 rank',1
it_miidx,it.info = 'votes',7
it_pi,it.info = 'height',1
it_pi,it.info = 'mini biography',2
it_pi,it.info = 'trivia',1
,,
k,k.keyword = 'character-name-in-title',12
k,k.keyword = 'computer-animation',2
k,k.keyword = 'marvel-cinematic-universe',2
k,k.keyword = 'sequel',5
k,"k.keyword IN ('murder','blood','gore','death','female-nudity')",1
k,"k.keyword IN ('murder','murder-in-title','blood','violence')",5
k,"k.keyword IN ('murder','murder-in-title')",1
k,"k.keyword IN ('murder','violence','blood','gore','death','female-nudity','hospital')",5
k,"k.keyword IN ('nerd','loner','alienation','dignity')",1
k,"k.keyword IN ('sequel','revenge','based-on-novel')",2
k,"k.keyword IN ('superhero','marvel-comics','based-on-comic','fight')",1
k,"k.keyword IN ('superhero','marvel-comics','based-on-comic','tv-special','fight','violence','magnet','web','claw','laser')",2
k,"k.keyword IN ('superhero','sequel','second-part','marvel-comics','based-on-comic','tv-special','fight','violence')",4
k,"k.keyword IS NOT NULL AND k.keyword IN ('murder','murder-in-title', 'blood', 'violence')",1
k,k.keyword LIKE '%sequel%',4
,,
kt,kt.kind = 'movie',8
kt,"kt.kind IN ('movie','episode')",6
kt,"kt.kind IN ('movie','tv movie','video movie','video game')",1
