ca_country = 'United States' and ca_state in ('AK', 'AR', 'MI')
ca_country = 'United States' and ca_state in ('AK', 'IN', 'TX')
ca_country = 'United States' and ca_state in ('AK', 'MD', 'SC')
ca_country = 'United States' and ca_state in ('AK', 'MO', 'OH')
ca_country = 'United States' and ca_state in ('AK', 'NV', 'NY')
ca_country = 'United States' and ca_state in ('AL', 'AR', 'GA')
ca_country = 'United States' and ca_state in ('AL', 'AR', 'IL')
ca_country = 'United States' and ca_state in ('AL', 'AR', 'NH')
ca_country = 'United States' and ca_state in ('AL', 'CA', 'CO')
ca_country = 'United States' and ca_state in ('AL', 'FL', 'NJ')
ca_country = 'United States' and ca_state in ('AL', 'GA', 'IA')
ca_country = 'United States' and ca_state in ('AL', 'GA', 'KS')
ca_country = 'United States' and ca_state in ('AL', 'GA', 'NC')
ca_country = 'United States' and ca_state in ('AL', 'IA', 'IN')
ca_country = 'United States' and ca_state in ('AL', 'IA', 'NE')
ca_country = 'United States' and ca_state in ('AL', 'IL', 'VA')
ca_country = 'United States' and ca_state in ('AL', 'KS', 'MO')
ca_country = 'United States' and ca_state in ('AL', 'KY', 'SD')
ca_country = 'United States' and ca_state in ('AL', 'KY', 'TX')
ca_country = 'United States' and ca_state in ('AL', 'MI', 'TX')
ca_country = 'United States' and ca_state in ('AL', 'MN', 'NC')
ca_country = 'United States' and ca_state in ('AL', 'MO', 'SD')
ca_country = 'United States' and ca_state in ('AL', 'MS', 'MT')
ca_country = 'United States' and ca_state in ('AL', 'MT', 'OR')
ca_country = 'United States' and ca_state in ('AL', 'MT', 'WI')
ca_country = 'United States' and ca_state in ('AL', 'ND', 'SC')
ca_country = 'United States' and ca_state in ('AL', 'ND', 'WI')
ca_country = 'United States' and ca_state in ('AL', 'NE', 'PA')
ca_country = 'United States' and ca_state in ('AL', 'OH', 'VA')
ca_country = 'United States' and ca_state in ('AL', 'OH', 'WY')
ca_country = 'United States' and ca_state in ('AL', 'OK', 'WI')
ca_country = 'United States' and ca_state in ('AL', 'SC', 'WI')
ca_country = 'United States' and ca_state in ('AL', 'TX', 'WV')
ca_country = 'United States' and ca_state in ('AL', 'WI', 'WV')
ca_country = 'United States' and ca_state in ('AR', 'CA', 'MI')
ca_country = 'United States' and ca_state in ('AR', 'GA', 'IL')
ca_country = 'United States' and ca_state in ('AR', 'ID', 'VT')
ca_country = 'United States' and ca_state in ('AR', 'IL', 'KS')
ca_country = 'United States' and ca_state in ('AR', 'IL', 'MI')
ca_country = 'United States' and ca_state in ('AR', 'IL', 'MI')
ca_country = 'United States' and ca_state in ('AR', 'IL', 'MO')
ca_country = 'United States' and ca_state in ('AR', 'IN', 'KS')
ca_country = 'United States' and ca_state in ('AR', 'IN', 'TX')
ca_country = 'United States' and ca_state in ('AR', 'LA', 'MN')
ca_country = 'United States' and ca_state in ('AR', 'LA', 'TN')
ca_country = 'United States' and ca_state in ('AR', 'MI', 'WA')
ca_country = 'United States' and ca_state in ('AR', 'TX', 'WA')
ca_country = 'United States' and ca_state in ('CA', 'FL', 'MT')
ca_country = 'United States' and ca_state in ('CA', 'FL', 'SC')
ca_country = 'United States' and ca_state in ('CA', 'FL', 'TX')
ca_country = 'United States' and ca_state in ('CA', 'GA', 'ID')
ca_country = 'United States' and ca_state in ('CA', 'GA', 'WI')
ca_country = 'United States' and ca_state in ('CA', 'IA', 'OH')
ca_country = 'United States' and ca_state in ('CA', 'KY', 'TX')
ca_country = 'United States' and ca_state in ('CA', 'MD', 'UT')
ca_country = 'United States' and ca_state in ('CA', 'MT', 'VA')
ca_country = 'United States' and ca_state in ('CA', 'NC', 'TX')
ca_country = 'United States' and ca_state in ('CA', 'SC', 'TX')
ca_country = 'United States' and ca_state in ('CA', 'SD', 'TN')
ca_country = 'United States' and ca_state in ('CO', 'IA', 'PA')
ca_country = 'United States' and ca_state in ('CO', 'IN', 'MN')
ca_country = 'United States' and ca_state in ('CO', 'IN', 'MO')
ca_country = 'United States' and ca_state in ('CO', 'IN', 'ND')
ca_country = 'United States' and ca_state in ('CO', 'IN', 'OK')
ca_country = 'United States' and ca_state in ('CO', 'KY', 'MO')
ca_country = 'United States' and ca_state in ('CO', 'KY', 'NY')
ca_country = 'United States' and ca_state in ('CO', 'MO', 'TX')
ca_country = 'United States' and ca_state in ('CO', 'NC', 'SC')
ca_country = 'United States' and ca_state in ('CO', 'PA', 'TX')
ca_country = 'United States' and ca_state in ('FL', 'GA', 'NE')
ca_country = 'United States' and ca_state in ('FL', 'GA', 'TN')
ca_country = 'United States' and ca_state in ('FL', 'GA', 'WV')
ca_country = 'United States' and ca_state in ('FL', 'IA', 'TX')
ca_country = 'United States' and ca_state in ('FL', 'ID', 'VA')
ca_country = 'United States' and ca_state in ('FL', 'IL', 'NM')
ca_country = 'United States' and ca_state in ('FL', 'IN', 'LA')
ca_country = 'United States' and ca_state in ('FL', 'IN', 'MN')
ca_country = 'United States' and ca_state in ('FL', 'IN', 'MO')
ca_country = 'United States' and ca_state in ('FL', 'IN', 'TX')
ca_country = 'United States' and ca_state in ('FL', 'IN', 'TX')
